gstin,tax_period,table,invoice_no,invoice_date,ctin,customer_name,pos,inv_typ,hsn,rate,taxable_value,igst,cgst,sgst,cess,invoice_value
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0001,12-04-2024,27AAEFS1122H1ZJ,SAHYADRI ENGINEERING WORKS,27,R,72085190,18,557039.05,100267.03,0.0,0.0,0.0,657306.08
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0002,28-04-2024,29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,29,R,998719,18,225022.14,0.0,20252.0,20251.99,0.0,265526.13
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0003,21-04-2024,29AAGFK9012M1ZX,KAVERI HYDRAULICS LLP,29,R,84139110,18,38908.12,0.0,3501.73,3501.73,0.0,45911.58
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0004,07-04-2024,29AACCS7712F1ZB,SRIRAM AUTO COMPONENTS PRIVATE LIMITED,29,R,998719,18,370656.64,0.0,33359.1,33359.1,0.0,437374.84
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0005,03-04-2024,29AAGFK9012M1ZX,KAVERI HYDRAULICS LLP,29,R,72085190,18,938023.52,0.0,84422.12,84422.11,0.0,1106867.75
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0006,01-04-2024,27AAEFS1122H1ZJ,SAHYADRI ENGINEERING WORKS,27,R,72085190,18,1615911.09,290864.0,0.0,0.0,0.0,1906775.09
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0007,30-04-2024,29AAGFK9012M1ZX,KAVERI HYDRAULICS LLP,29,R,84819090,18,261193.11,0.0,23507.38,23507.38,0.0,308207.87
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0008,17-04-2024,07AAACN8899J1ZP,NORTHERN VALVE SYSTEMS PRIVATE LIMITED,07,R,84139110,18,164042.66,29527.68,0.0,0.0,0.0,193570.34
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0009,11-04-2024,19AAACB6677K1Z6,BENGAL PUMPS AND SEALS PRIVATE LIMITED,19,R,73181500,18,69158.15,12448.47,0.0,0.0,0.0,81606.62
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0010,14-04-2024,29AACCS7712F1ZB,SRIRAM AUTO COMPONENTS PRIVATE LIMITED,29,R,72085190,18,1606175.35,0.0,144555.78,144555.78,0.0,1895286.91
