gstin,return_form,financial_year,tax_period,arn,filing_date,due_date,filing_status,delay_days,filing_mode,late_fee_paid
27AABCV1234K1ZD,GSTR1,2024-25,042024,AA2705242037872U,11-05-2024,11-05-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR1,2024-25,052024,AA2706247655194B,11-06-2024,11-06-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR1,2024-25,062024,AA2707244709137B,11-07-2024,11-07-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR1,2024-25,072024,AA2708243234302K,11-08-2024,11-08-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR1,2024-25,082024,AA2709248031986E,11-09-2024,11-09-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR1,2024-25,092024,AA2710242976225U,11-10-2024,11-10-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR1,2024-25,102024,AA2711246175466T,11-11-2024,11-11-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR1,2024-25,112024,AA2712244032085D,11-12-2024,11-12-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR1,2024-25,122024,AA2701254151952M,11-01-2025,11-01-2025,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR1,2024-25,012025,AA2702252634613T,11-02-2025,11-02-2025,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR1,2024-25,022025,AA2703252053424U,11-03-2025,11-03-2025,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR1,2024-25,032025,AA2704251999941V,11-04-2025,11-04-2025,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR3B,2024-25,042024,AA2705248653855C,20-05-2024,20-05-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR3B,2024-25,052024,AA2706242570280J,20-06-2024,20-06-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR3B,2024-25,062024,AA2707248954050Y,20-07-2024,20-07-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR3B,2024-25,072024,AA2708242090518B,20-08-2024,20-08-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR3B,2024-25,082024,AA2709246194349W,20-09-2024,20-09-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR3B,2024-25,092024,AA2710248476611K,20-10-2024,20-10-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR3B,2024-25,102024,AA2711247472506X,20-11-2024,20-11-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR3B,2024-25,112024,AA2712246821782A,20-12-2024,20-12-2024,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR3B,2024-25,122024,AA2701258745961M,20-01-2025,20-01-2025,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR3B,2024-25,012025,AA2702253819383V,20-02-2025,20-02-2025,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR3B,2024-25,022025,AA2703252964541R,20-03-2025,20-03-2025,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR3B,2024-25,032025,AA2704251989091G,20-04-2025,20-04-2025,Filed,0,ONLINE,0.0
27AABCV1234K1ZD,GSTR9,2024-25,032025,AA2712257967519M,18-12-2025,31-12-2025,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR1,2024-25,042024,AA2905246433012E,11-05-2024,11-05-2024,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR1,2024-25,052024,AA2906247624039W,11-06-2024,11-06-2024,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR1,2024-25,062024,AA2907241810111C,11-07-2024,11-07-2024,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR1,2024-25,072024,AA2908249990608D,28-08-2024,11-08-2024,Filed,17,ONLINE,850.0
29AABCV1234K1Z9,GSTR1,2024-25,082024,AA2909247135241U,11-09-2024,11-09-2024,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR1,2024-25,092024,AA2910241973060S,11-10-2024,11-10-2024,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR1,2024-25,102024,AA2911244602037B,11-11-2024,11-11-2024,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR1,2024-25,112024,AA2912242441955P,11-12-2024,11-12-2024,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR1,2024-25,122024,AA2901258015764C,11-01-2025,11-01-2025,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR1,2024-25,012025,AA2902255037655C,11-02-2025,11-02-2025,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR1,2024-25,022025,AA2903258122250B,11-03-2025,11-03-2025,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR1,2024-25,032025,AA2904253077052H,11-04-2025,11-04-2025,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR3B,2024-25,042024,AA2905246037344S,20-05-2024,20-05-2024,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR3B,2024-25,052024,AA2906249306674L,20-06-2024,20-06-2024,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR3B,2024-25,062024,AA2907248530188K,20-07-2024,20-07-2024,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR3B,2024-25,072024,AA2909242228106D,01-09-2024,20-08-2024,Filed,12,ONLINE,600.0
29AABCV1234K1Z9,GSTR3B,2024-25,082024,AA2909249588807P,20-09-2024,20-09-2024,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR3B,2024-25,092024,AA2910243767604L,20-10-2024,20-10-2024,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR3B,2024-25,102024,AA2911243549877R,20-11-2024,20-11-2024,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR3B,2024-25,112024,AA2912248074924B,20-12-2024,20-12-2024,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR3B,2024-25,122024,AA2901252302255T,20-01-2025,20-01-2025,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR3B,2024-25,012025,AA2902256263809L,20-02-2025,20-02-2025,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR3B,2024-25,022025,AA2903256875018V,20-03-2025,20-03-2025,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR3B,2024-25,032025,AA2904259332820U,20-04-2025,20-04-2025,Filed,0,ONLINE,0.0
29AABCV1234K1Z9,GSTR9,2024-25,032025,AA2912255671130Y,18-12-2025,31-12-2025,Filed,0,ONLINE,0.0
29AABCV1234K2Z8,GSTR6,2024-25,042024,AA2905243532032C,13-05-2024,13-05-2024,Filed,0,ONLINE,0.0
29AABCV1234K2Z8,GSTR6,2024-25,052024,AA2906243956442E,13-06-2024,13-06-2024,Filed,0,ONLINE,0.0
29AABCV1234K2Z8,GSTR6,2024-25,062024,AA2907244891590X,13-07-2024,13-07-2024,Filed,0,ONLINE,0.0
29AABCV1234K2Z8,GSTR6,2024-25,072024,AA2908244914729A,13-08-2024,13-08-2024,Filed,0,ONLINE,0.0
29AABCV1234K2Z8,GSTR6,2024-25,082024,AA2909249136324U,13-09-2024,13-09-2024,Filed,0,ONLINE,0.0
29AABCV1234K2Z8,GSTR6,2024-25,092024,AA2910244059205J,13-10-2024,13-10-2024,Filed,0,ONLINE,0.0
29AABCV1234K2Z8,GSTR6,2024-25,102024,AA2911245730012A,13-11-2024,13-11-2024,Filed,0,ONLINE,0.0
29AABCV1234K2Z8,GSTR6,2024-25,112024,AA2912243444044P,13-12-2024,13-12-2024,Filed,0,ONLINE,0.0
29AABCV1234K2Z8,GSTR6,2024-25,122024,AA2901259968948M,13-01-2025,13-01-2025,Filed,0,ONLINE,0.0
29AABCV1234K2Z8,GSTR6,2024-25,012025,AA2902256345416E,13-02-2025,13-02-2025,Filed,0,ONLINE,0.0
29AABCV1234K2Z8,GSTR6,2024-25,022025,AA2903259648511V,13-03-2025,13-03-2025,Filed,0,ONLINE,0.0
29AABCV1234K2Z8,GSTR6,2024-25,032025,AA2904251905850Q,13-04-2025,13-04-2025,Filed,0,ONLINE,0.0
33AABCV1234K1ZK,GSTR1,2024-25,092024,AA3310244455413R,11-10-2024,11-10-2024,Filed,0,ONLINE,0.0
33AABCV1234K1ZK,GSTR1,2024-25,102024,AA3311249920785P,11-11-2024,11-11-2024,Filed,0,ONLINE,0.0
33AABCV1234K1ZK,GSTR1,2024-25,112024,AA3312246270514Q,11-12-2024,11-12-2024,Filed,0,ONLINE,0.0
33AABCV1234K1ZK,GSTR1,2024-25,122024,AA3301258603172M,11-01-2025,11-01-2025,Filed,0,ONLINE,0.0
