operator_gstin,operator_name,tax_period,supplier_gstin,supplier_name,pos,gross_value_of_supplies,value_of_supplies_returned,net_value_of_supplies,tcs_rate_percent,tcs_igst,tcs_cgst,tcs_sgst,total_tcs,gstr8_filing_date,mock_flag
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,042024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,710010.0,42126.0,667884.0,0.5,0.0,1669.71,1669.71,3339.42,10-05-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,042024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,684351.0,32425.72,651925.28,0.5,3259.63,0.0,0.0,3259.63,10-05-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,042024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,421303.0,23723.26,397579.74,0.5,1987.9,0.0,0.0,1987.9,10-05-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,042024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,1349990.0,161962.18,1188027.82,0.5,5940.14,0.0,0.0,5940.14,10-05-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,042024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,678724.0,29247.87,649476.13,0.5,3247.38,0.0,0.0,3247.38,10-05-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,042024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,1229875.0,37164.8,1192710.2,0.5,5963.55,0.0,0.0,5963.55,10-05-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,042024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,767077.0,24969.59,742107.41,0.5,0.0,1855.27,1855.27,3710.54,10-05-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,042024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,1222599.0,55678.61,1166920.39,0.5,5834.6,0.0,0.0,5834.6,10-05-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,042024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,581039.0,43960.45,537078.55,0.5,2685.39,0.0,0.0,2685.39,10-05-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,042024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,994855.0,46219.63,948635.37,0.5,4743.18,0.0,0.0,4743.18,10-05-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,042024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,854197.0,34644.3,819552.7,0.5,4097.76,0.0,0.0,4097.76,10-05-2024,
