gstin,legal_name,trade_name,party_type,pan,state_code,registration_type,effective_date_of_registration,status,cancellation_date,cancellation_type,filing_status_last_6_returns,notes
29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,Bharat Special Steels Limited,Supplier,AAACB1199C,29,Regular,01-07-2017,Active,,,Regular,
29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,Mysore Castings Private Limited,Supplier,AABCM5511D,29,Regular,01-07-2017,Active,,,Regular,
27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,Indus Forgings And Alloys Private Limited,Supplier,AADCI7733E,27,Regular,01-07-2017,Active,,,Regular,
24AACCG9911B1Z0,GAURAV POLYMERS PRIVATE LIMITED,Gaurav Polymers Private Limited,Supplier,AACCG9911B,24,Regular,01-07-2017,Active,,,Regular,
33AAHFS3355G1ZA,SUNRISE TOOLING SOLUTIONS,Sunrise Tooling Solutions,Supplier,AAHFS3355G,33,Regular,01-07-2017,Active,,,Regular,
29AAGFN7799P1ZY,NIRMAL PACKAGING INDUSTRIES,Nirmal Packaging Industries,Supplier,AAGFN7799P,29,Regular,01-07-2017,Active,,,Regular,
29AABCA2244T1Z8,APEX INDUSTRIAL SERVICES PRIVATE LIMITED,Apex Industrial Services Private Limited,Supplier,AABCA2244T,29,Regular,01-07-2017,Active,,,Regular,
29AAECS8822V1Z7,SILICON IT INFRA PRIVATE LIMITED,Silicon It Infra Private Limited,Supplier,AAECS8822V,29,Regular,01-07-2017,Active,,,Regular,"Common HO service - IT/cloud, distributed via ISD"
29AAJFP4466W1ZX,PRUDENT CONSULTING LLP,Prudent Consulting Llp,Supplier,AAJFP4466W,29,Regular,01-07-2017,Active,,,Regular,"Common HO service - audit/consulting, distributed via ISD"
29AAECM1177X1ZF,MAHALAKSHMI ROADLINES PRIVATE LIMITED,Mahalakshmi Roadlines Private Limited,Supplier,AAECM1177X,29,Regular,01-07-2017,Active,,,Regular,"GTA - RCM u/s 9(3), Notification 13/2017"
29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,Vishwa Enterprises Private Limited,Supplier,AAACV6688Y,29,Regular,01-07-2017,Cancelled,31-12-2024,Suo-moto (retrospective),Defaulter,Registration cancelled retrospectively w.e.f. 31-12-2024 - ITC after this date is a finding
27AABCO3399Z1Z4,ORION METALS PRIVATE LIMITED,Orion Metals Private Limited,Supplier,AABCO3399Z,27,Regular,01-07-2017,Active,,,Regular,Admitted to CIRP by NCLT Mumbai on 18-11-2024 - 180 day rule exception (contest item B2.1)
