gstin,legal_name,party_type,status_current,cancellation_effective_date,suspension_date,registration_type,state_code,status_as_on_01_04_2024,status_as_on_30_09_2024,status_as_on_31_03_2025,api_source,last_verified
29AACCS7712F1ZB,SRIRAM AUTO COMPONENTS PRIVATE LIMITED,,Active,,,Regular,29,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
29AAGFK9012M1ZX,KAVERI HYDRAULICS LLP,,Active,,,Regular,29,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
36AABCD4455L1ZH,DECCAN MACHINE TOOLS PRIVATE LIMITED,,Active,,,Regular,36,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
07AAACN8899J1ZP,NORTHERN VALVE SYSTEMS PRIVATE LIMITED,,Active,,,Regular,07,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
27AAEFS1122H1ZJ,SAHYADRI ENGINEERING WORKS,,Active,,,Regular,27,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
19AAACB6677K1Z6,BENGAL PUMPS AND SEALS PRIVATE LIMITED,,Cancelled,30-09-2024,,Regular,19,Active,Active,Cancelled,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
29ADHPG5566Q1ZQ,GOKUL TRADERS,,Active,,,Composition,29,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,,Active,,,Regular-TDS,29,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
29AAFCQ2233R1ZV,QUANTUM PRECISION SEZ UNIT PRIVATE LIMITED,,Active,,,SEZ,29,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,,Active,,,Regular,29,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,,Active,,,Regular,29,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,,Active,,,Regular,27,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
24AACCG9911B1Z0,GAURAV POLYMERS PRIVATE LIMITED,,Active,,,Regular,24,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
33AAHFS3355G1ZA,SUNRISE TOOLING SOLUTIONS,,Active,,,Regular,33,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
29AAGFN7799P1ZY,NIRMAL PACKAGING INDUSTRIES,,Active,,,Regular,29,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
29AABCA2244T1Z8,APEX INDUSTRIAL SERVICES PRIVATE LIMITED,,Active,,,Regular,29,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
29AAECS8822V1Z7,SILICON IT INFRA PRIVATE LIMITED,,Active,,,Regular,29,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
29AAJFP4466W1ZX,PRUDENT CONSULTING LLP,,Active,,,Regular,29,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
29AAECM1177X1ZF,MAHALAKSHMI ROADLINES PRIVATE LIMITED,,Active,,,Regular,29,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,,Cancelled,31-12-2024,,Regular,29,Active,Active,Cancelled,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
27AABCO3399Z1Z4,ORION METALS PRIVATE LIMITED,,Active,,,Regular,27,Active,Active,Active,GSTN Search Taxpayer API (Track application/Search by GSTIN),15-04-2025
