shipping_bill_no,port_code,egm_status,egm_date,egm_no,vessel_or_flight,leo_date,gstn_transmission_status,refund_eligibility
7100013,INBLR4,Filed,03-05-2024,EGM808389,MV MAERSK SEVILLE,23-04-2024,Transmitted to GSTN,Eligible
7100026,INBLR4,Filed,25-04-2024,EGM530147,MV ORIENT STAR,23-04-2024,Transmitted to GSTN,Eligible
7100039,INMAA1,Filed,21-05-2024,EGM844189,MV MAERSK SEVILLE,10-05-2024,Transmitted to GSTN,Eligible
7100052,INBLR4,Filed,17-05-2024,EGM970788,MV ORIENT STAR,08-05-2024,Transmitted to GSTN,Eligible
7100065,INBLR4,Not Filed,,,MV APL PEARL,02-07-2024,Not transmitted - EGM error,Blocked
7100078,INMAA1,Filed,10-06-2024,EGM485640,MV MAERSK SEVILLE,04-06-2024,Transmitted to GSTN,Eligible
7100091,INBLR4,Filed,14-07-2024,EGM278607,MV ORIENT STAR,05-07-2024,Transmitted to GSTN,Eligible
,INBLR4,Filed,11-08-2024,EGM639204,MV APL PEARL,,Transmitted to GSTN,Eligible
7100117,INMAA1,Filed,15-08-2024,EGM631376,MV APL PEARL,10-08-2024,Transmitted to GSTN,Eligible
7100130,INBLR4,Filed,23-08-2024,EGM999626,MV MAERSK SEVILLE,15-08-2024,Transmitted to GSTN,Eligible
7100143,INBLR4,Filed,27-09-2024,EGM263734,MV APL PEARL,18-09-2024,Transmitted to GSTN,Eligible
7100156,INMAA1,Filed,20-09-2024,EGM423931,MV MAERSK SEVILLE,08-09-2024,Transmitted to GSTN,Eligible
7100169,INBLR4,Filed,24-10-2024,EGM993284,MV MAERSK SEVILLE,12-10-2024,Transmitted to GSTN,Eligible
7100182,INBLR4,Filed,22-10-2024,EGM436086,MV ORIENT STAR,14-10-2024,Transmitted to GSTN,Eligible
7100195,INMAA1,Filed,16-11-2024,EGM776553,MV MAERSK SEVILLE,08-11-2024,Transmitted to GSTN,Eligible
7100208,INBLR4,Filed,24-11-2024,EGM293562,MV ORIENT STAR,22-11-2024,Transmitted to GSTN,Eligible
7100221,INBLR4,Filed,25-12-2024,EGM341423,MV APL PEARL,15-12-2024,Transmitted to GSTN,Eligible
7100234,INMAA1,Filed,26-12-2024,EGM633714,MV ORIENT STAR,19-12-2024,Transmitted to GSTN,Eligible
7100247,INBLR4,Filed,20-01-2025,EGM728651,MV ORIENT STAR,14-01-2025,Transmitted to GSTN,Eligible
7100260,INBLR4,Filed,19-01-2025,EGM807995,MV MAERSK SEVILLE,17-01-2025,Transmitted to GSTN,Eligible
7100273,INMAA1,Filed,25-02-2025,EGM800182,MV APL PEARL,22-02-2025,Transmitted to GSTN,Eligible
7100286,INBLR4,Filed,27-02-2025,EGM518512,MV ORIENT STAR,15-02-2025,Transmitted to GSTN,Eligible
7100299,INBLR4,Filed,13-04-2025,EGM241490,MV APL PEARL,01-04-2025,Transmitted to GSTN,Eligible
7100312,INMAA1,Filed,17-03-2025,EGM371244,MV APL PEARL,08-03-2025,Transmitted to GSTN,Eligible
