recipient_gstin,tax_period,supplier_gstin,supplier_name,invoice_no,invoice_date,hsn,rate,taxable_value,igst,cgst,sgst,cess,invoice_value,itc_available,itc_unavailable_reason,supplier_status_flag
29AABCV1234K1Z9,042024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/6922,17-04-2024,72283000,18,1905961.21,0.0,171536.51,171536.51,0.0,2249034.23,Y,,
29AABCV1234K1Z9,042024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/6053,27-04-2024,39269099,18,59797.38,0.0,5381.77,5381.76,0.0,70560.91,Y,,
29AABCV1234K1Z9,042024,29AAGFN7799P1ZY,NIRMAL PACKAGING INDUSTRIES,NIR/24-25/8675,16-04-2024,39269099,18,25612.14,0.0,2305.1,2305.09,0.0,30222.33,Y,,
29AABCV1234K1Z9,042024,27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,IND/24-25/1332,04-04-2024,48191010,12,11377.22,1365.27,0.0,0.0,0.0,12742.49,Y,,
29AABCV1234K1Z9,042024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/4765,05-04-2024,998873,12,203150.36,0.0,12189.02,12189.02,0.0,227528.4,Y,,
29AABCV1234K1Z9,042024,24AACCG9911B1Z0,GAURAV POLYMERS PRIVATE LIMITED,GAU/24-25/2496,11-04-2024,48191010,12,11052.16,1326.26,0.0,0.0,0.0,12378.42,Y,,
29AABCV1234K1Z9,042024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/1307,07-04-2024,39269099,18,32792.11,0.0,2951.29,2951.29,0.0,38694.69,Y,,
29AABCV1234K1Z9,042024,29AABCA2244T1Z8,APEX INDUSTRIAL SERVICES PRIVATE LIMITED,APE/24-25/1766,28-04-2024,73251000,18,5786.84,0.0,520.82,520.81,0.0,6828.47,Y,,
29AABCV1234K1Z9,042024,29AABCA2244T1Z8,APEX INDUSTRIAL SERVICES PRIVATE LIMITED,APE/24-25/1971,22-04-2024,72283000,18,2895665.06,0.0,260609.86,260609.85,0.0,3416884.77,Y,,
29AABCV1234K1Z9,042024,27AABCO3399Z1Z4,ORION METALS PRIVATE LIMITED,ORI/24-25/6368,08-04-2024,997212,18,1085326.08,195358.69,0.0,0.0,0.0,1280684.77,Y,,
29AABCV1234K1Z9,042024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/1327,05-04-2024,48191010,12,6215.5,0.0,372.93,372.93,0.0,6961.36,Y,,
29AABCV1234K1Z9,042024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/5005,16-04-2024,72283000,18,2980695.94,0.0,268262.64,268262.63,0.0,3517221.21,Y,,
29AABCV1234K1Z9,042024,29AABCA2244T1Z8,APEX INDUSTRIAL SERVICES PRIVATE LIMITED,APE/24-25/4106,27-04-2024,39269099,18,37292.99,0.0,3356.37,3356.37,0.0,44005.73,Y,,
29AABCV1234K1Z9,042024,27AABCO3399Z1Z4,ORION METALS PRIVATE LIMITED,ORI/24-25/9335,03-04-2024,48191010,12,3600.7,432.08,0.0,0.0,0.0,4032.78,Y,,
29AABCV1234K1Z9,052024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/7015,07-05-2024,998873,12,92060.07,0.0,5523.61,5523.6,0.0,103107.28,Y,,
29AABCV1234K1Z9,052024,27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,IND/24-25/5062,31-05-2024,73251000,18,25090.97,4516.37,0.0,0.0,0.0,29607.34,Y,,
29AABCV1234K1Z9,052024,27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,IND/24-25/4961,05-05-2024,997212,18,1242059.9,223570.78,0.0,0.0,0.0,1465630.68,Y,,
29AABCV1234K1Z9,052024,27AABCO3399Z1Z4,ORION METALS PRIVATE LIMITED,ORI/24-25/7244,14-05-2024,48191010,12,21255.53,2550.66,0.0,0.0,0.0,23806.19,Y,,
29AABCV1234K1Z9,052024,27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,IND/24-25/9865,19-05-2024,48191010,12,6584.49,790.14,0.0,0.0,0.0,7374.63,Y,,
29AABCV1234K1Z9,052024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/7784,01-05-2024,998873,12,206528.19,0.0,12391.69,12391.69,0.0,231311.57,Y,,
29AABCV1234K1Z9,052024,27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,IND/24-25/5864,20-05-2024,998873,12,515937.88,61912.55,0.0,0.0,0.0,577850.43,Y,,
29AABCV1234K1Z9,052024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/7847,18-05-2024,997212,18,1968309.45,0.0,177147.85,177147.85,0.0,2322605.15,Y,,
29AABCV1234K1Z9,052024,27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,IND/24-25/2318,25-05-2024,72283000,18,1229948.97,221390.81,0.0,0.0,0.0,1451339.78,Y,,
29AABCV1234K1Z9,052024,33AAHFS3355G1ZA,SUNRISE TOOLING SOLUTIONS,SUN/24-25/7971,05-05-2024,72283000,18,1221956.89,219952.24,0.0,0.0,0.0,1441909.13,Y,,
29AABCV1234K1Z9,052024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/8342,27-05-2024,997212,18,1768927.84,0.0,159203.51,159203.5,0.0,2087334.85,Y,,
29AABCV1234K1Z9,052024,33AAHFS3355G1ZA,SUNRISE TOOLING SOLUTIONS,SUN/24-25/7420,06-05-2024,39269099,18,71517.78,12873.2,0.0,0.0,0.0,84390.98,Y,,
29AABCV1234K1Z9,052024,29AABCA2244T1Z8,APEX INDUSTRIAL SERVICES PRIVATE LIMITED,APE/24-25/5351,04-05-2024,73251000,18,41065.69,0.0,3695.91,3695.91,0.0,48457.51,Y,,
29AABCV1234K1Z9,052024,29AAGFN7799P1ZY,NIRMAL PACKAGING INDUSTRIES,NIR/24-25/2603,10-05-2024,73251000,18,17873.54,0.0,1608.62,1608.62,0.0,21090.78,Y,,
29AABCV1234K1Z9,062024,29AAGFN7799P1ZY,NIRMAL PACKAGING INDUSTRIES,NIR/24-25/7323,28-06-2024,48191010,12,4266.31,0.0,255.98,255.98,0.0,4778.27,Y,,
29AABCV1234K1Z9,062024,27AABCO3399Z1Z4,ORION METALS PRIVATE LIMITED,ORI/24-25/4673,02-06-2024,998873,12,514400.52,61728.06,0.0,0.0,0.0,576128.58,Y,,
29AABCV1234K1Z9,062024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/5831,28-06-2024,998873,12,410173.16,0.0,24610.39,24610.39,0.0,459393.94,Y,,
29AABCV1234K1Z9,062024,33AAHFS3355G1ZA,SUNRISE TOOLING SOLUTIONS,SUN/24-25/2170,02-06-2024,72283000,18,1031938.04,185748.85,0.0,0.0,0.0,1217686.89,Y,,
29AABCV1234K1Z9,062024,27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,IND/24-25/5504,24-06-2024,72283000,18,2895845.79,521252.24,0.0,0.0,0.0,3417098.03,Y,,
29AABCV1234K1Z9,062024,27AABCO3399Z1Z4,ORION METALS PRIVATE LIMITED,ORI/24-25/9361,15-06-2024,39269099,18,21503.25,3870.59,0.0,0.0,0.0,25373.84,Y,,
29AABCV1234K1Z9,062024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/2184,15-06-2024,73251000,18,17316.19,0.0,1558.46,1558.45,0.0,20433.1,Y,,
29AABCV1234K1Z9,062024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/6653,09-06-2024,39269099,18,27816.86,0.0,2503.52,2503.51,0.0,32823.89,Y,,
29AABCV1234K1Z9,062024,33AAHFS3355G1ZA,SUNRISE TOOLING SOLUTIONS,SUN/24-25/3911,27-06-2024,997212,18,1338613.61,240950.45,0.0,0.0,0.0,1579564.06,N,C,
29AABCV1234K1Z9,062024,27AABCO3399Z1Z4,ORION METALS PRIVATE LIMITED,ORI/24-25/9066,05-06-2024,72283000,18,1840756.75,331336.22,0.0,0.0,0.0,2172092.97,Y,,
