gstin,tax_period,t31a_taxable_value,t31a_igst,t31a_cgst,t31a_sgst,t31b_zero_rated,t31d_inward_rcm,t4a5_itc_others_igst,t4a5_itc_others_cgst,t4a5_itc_others_sgst,t4a1_import_goods_igst,t4a3_rcm_igst,t4a3_rcm_cgst,t4a3_rcm_sgst,t4a4_isd_igst,t4a4_isd_cgst,t4a4_isd_sgst,t4b_reversal_total,gstr1_taxable_value,gstr1_minus_3b_delta,mock_note
29AABCV1234K1Z9,042024,10919211.02,1129510.73,408471.48,408471.44,3482904.63,67016.0,198482.3,727486.31,727486.26,538436.58,0.0,1675.4,1675.4,0.0,54000.0,54000.0,57870.92,10919211.02,0.0,
29AABCV1234K1Z9,052024,10301336.18,1183373.89,281293.47,281293.46,4348818.14,1602394.0,747556.75,359571.19,359571.17,0.0,274842.72,1887.25,1887.25,0.0,54000.0,54000.0,51334.47,10301336.18,0.0,
29AABCV1234K1Z9,062024,7664791.49,769555.33,271073.42,271073.38,5446231.57,55745.0,1125553.46,48775.61,48775.57,495155.86,0.0,1393.63,1393.62,0.0,54000.0,54000.0,42808.66,7664791.49,0.0,
29AABCV1234K1Z9,072024,9263833.09,1096485.56,252560.97,252560.95,4700349.31,27992.0,286798.25,660760.03,660760.0,0.0,0.0,699.8,699.8,0.0,54000.0,54000.0,56291.14,9263833.09,0.0,
29AABCV1234K1Z9,082024,10971674.72,1313975.86,267541.99,267541.97,2701732.99,1016759.0,747056.77,263980.15,263980.1,688182.75,172981.8,1393.73,1393.72,0.0,54000.0,54000.0,44625.6,10971674.72,0.0,
29AABCV1234K1Z9,092024,5283161.42,323483.58,265294.63,265294.57,4409854.53,57899.0,777077.16,293038.29,293038.25,0.0,0.0,1447.48,1447.47,0.0,54000.0,54000.0,47710.38,9181257.14,3898095.72,UNDER-DECLARED vs GSTR-1 (see B3.02 DRC-01B)
29AABCV1234K1Z9,102024,7965419.79,832915.17,248186.99,248186.95,4351467.34,95002.0,295517.05,419676.54,419676.5,406064.78,0.0,2375.05,2375.05,0.0,54000.0,54000.0,39720.45,7965419.79,0.0,ITC availed LESS than GSTR-2B (deferred availment)
29AABCV1234K1Z9,112024,11565576.67,1408687.3,229866.42,229866.4,4211050.36,1551036.0,271185.26,748850.53,748850.47,0.0,274023.18,717.13,717.12,0.0,54000.0,54000.0,61911.02,11565576.67,0.0,
29AABCV1234K1Z9,122024,11541289.86,1255940.28,295404.06,295404.05,3945870.27,64978.0,212924.23,655427.36,655427.31,683729.73,0.0,1624.45,1624.45,0.0,54000.0,54000.0,53332.26,11541289.86,0.0,
29AABCV1234K1Z9,012025,9337213.42,640929.25,496277.05,496276.99,2388720.2,46864.0,344377.52,422938.66,422938.61,0.0,0.0,1171.6,1171.6,0.0,54000.0,54000.0,41658.92,9337213.42,0.0,ITC availed EXCESS of GSTR-2B (Sec 16(2)(aa) breach)
29AABCV1234K1Z9,022025,9471034.13,875003.56,375148.28,375148.26,4132090.6,723865.0,762597.21,280363.21,280363.18,576616.65,121273.02,1253.15,1253.15,0.0,54000.0,54000.0,46316.33,9471034.13,0.0,
29AABCV1234K1Z9,032025,10492854.76,1119065.88,365400.18,365400.13,2571654.61,43142.0,327681.82,483823.28,483823.26,0.0,0.0,1078.55,1078.55,0.0,54000.0,54000.0,45336.49,10492854.76,0.0,
27AABCV1234K1ZD,042024,3457020.77,153786.39,226266.46,226266.45,0.0,63924.0,123104.7,109916.94,109916.94,0.0,0.0,1598.1,1598.1,72000.0,0.0,0.0,12002.85,3457020.77,0.0,
27AABCV1234K1ZD,052024,3027644.15,332540.88,81231.36,81231.35,1253611.53,65801.0,500243.61,0.0,0.0,0.0,0.0,1645.03,1645.02,72000.0,0.0,0.0,17508.53,3027644.15,0.0,
27AABCV1234K1ZD,062024,4419708.29,448247.74,142101.55,142101.54,0.0,74882.0,93038.27,165525.19,165525.18,0.0,0.0,1872.05,1872.05,72000.0,0.0,0.0,14843.1,4419708.29,0.0,
27AABCV1234K1ZD,072024,3922706.44,379075.12,139079.73,139079.72,0.0,38511.0,269875.08,84315.78,84315.78,0.0,0.0,962.78,962.77,72000.0,0.0,0.0,15347.73,3922706.44,0.0,
27AABCV1234K1ZD,082024,3908802.9,113444.19,275415.75,275415.72,236538.25,38638.0,261957.19,111839.93,111839.92,0.0,0.0,965.95,965.95,72000.0,0.0,0.0,16997.3,3908802.9,0.0,
27AABCV1234K1ZD,092024,4330343.12,437034.2,132711.04,132711.03,0.0,94419.0,420037.34,0.0,0.0,0.0,0.0,2360.48,2360.47,72000.0,0.0,0.0,14701.31,4330343.12,0.0,
27AABCV1234K1ZD,102024,2398624.4,199161.84,94427.73,94427.73,2185260.85,89268.0,415863.54,24163.31,24163.29,0.0,0.0,2231.7,2231.7,72000.0,0.0,0.0,16246.65,2398624.4,0.0,
27AABCV1234K1ZD,112024,3783567.33,233116.04,188761.18,188761.16,774944.69,32714.0,173338.96,124219.37,124219.37,0.0,0.0,817.85,817.85,72000.0,0.0,0.0,14762.22,3783567.33,0.0,
27AABCV1234K1ZD,122024,3825359.52,389979.98,129045.95,129045.93,0.0,94344.0,454788.97,0.0,0.0,0.0,0.0,2358.6,2358.6,72000.0,0.0,0.0,15917.61,3825359.52,0.0,
27AABCV1234K1ZD,012025,4628454.23,251267.99,260806.69,260806.67,0.0,60087.0,95082.39,199192.75,199192.74,0.0,0.0,1502.18,1502.17,72000.0,0.0,0.0,17271.38,4628454.23,0.0,
27AABCV1234K1ZD,022025,3693592.07,225108.98,205913.88,205913.84,0.0,78678.0,446406.95,0.0,0.0,0.0,0.0,1966.95,1966.95,72000.0,0.0,0.0,15624.24,3693592.07,0.0,
27AABCV1234K1ZD,032025,3492122.02,504312.73,53945.23,53945.2,0.0,45657.0,404786.82,5649.94,5649.94,0.0,0.0,1141.43,1141.42,72000.0,0.0,0.0,14563.03,3492122.02,0.0,
33AABCV1234K1ZK,092024,1062193.2,159733.16,13830.99,13830.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062193.2,0.0,
33AABCV1234K1ZK,102024,1084694.55,58123.49,53468.56,53468.54,49355.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1084694.55,0.0,
33AABCV1234K1ZK,112024,1306859.97,144056.38,42605.76,42605.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1306859.97,0.0,
33AABCV1234K1ZK,122024,495771.29,29007.56,24772.23,24772.23,593038.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495771.29,0.0,
33AABCV1234K1ZK,012025,1188795.23,152058.44,24594.09,24594.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188795.23,0.0,
33AABCV1234K1ZK,022025,1106826.4,132633.66,26149.05,26149.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106826.4,0.0,
33AABCV1234K1ZK,032025,1307062.78,33755.35,76891.66,76891.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307062.78,0.0,
