deductor_gstin,deductor_name,tax_period,deductee_gstin,deductee_name,invoice_no,invoice_date,taxable_value,tds_rate_percent,tds_igst,tds_cgst,tds_sgst,total_tds,gstr7_filing_date,tds_certificate_no
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,042024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,VPI/KA/24-25/0002,28-04-2024,225022.14,2.0,0.0,2250.22,2250.22,4500.44,10-05-2024,GSTR7A/042024/90889
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,042024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,VPI/KA/24-25/0014,26-04-2024,27432.98,2.0,0.0,274.33,274.33,548.66,10-05-2024,GSTR7A/042024/38318
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,042024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,VPI/KA/24-25/0016,19-04-2024,25990.65,2.0,0.0,259.91,259.91,519.81,10-05-2024,GSTR7A/042024/69832
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,052024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,VPI/KA/24-25/0023,22-05-2024,8795.47,2.0,0.0,87.96,87.96,175.91,10-06-2024,GSTR7A/052024/75806
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,052024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,VPI/KA/24-25/0032,12-05-2024,506213.57,2.0,0.0,5062.14,5062.14,10124.27,10-06-2024,GSTR7A/052024/73267
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,062024,27AABCV1234K1ZD,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,VPI/MH/24-25/0015,02-06-2024,272102.34,2.0,0.0,2721.03,2721.03,5442.05,10-07-2024,GSTR7A/062024/78230
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,072024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,VPI/KA/24-25/0061,17-07-2024,304825.59,2.0,0.0,3048.26,3048.26,6096.51,10-08-2024,GSTR7A/072024/57278
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,072024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,VPI/KA/24-25/0063,11-07-2024,53890.18,2.0,0.0,538.9,538.9,1077.8,10-08-2024,GSTR7A/072024/69590
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,072024,27AABCV1234K1ZD,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,VPI/MH/24-25/0023,30-07-2024,253721.45,2.0,0.0,2537.22,2537.22,5074.43,10-08-2024,GSTR7A/072024/14091
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,082024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,VPI/KA/24-25/0088,01-08-2024,9768.5,2.0,0.0,97.69,97.69,195.37,10-09-2024,GSTR7A/082024/14822
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,082024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,VPI/KA/24-25/0094,08-08-2024,417550.0,2.0,0.0,4175.5,4175.5,8351.0,10-09-2024,GSTR7A/082024/32189
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,092024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,VPI/KA/24-25/0108,29-09-2024,24113.14,2.0,0.0,241.13,241.13,482.26,10-10-2024,GSTR7A/092024/55057
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,092024,27AABCV1234K1ZD,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,VPI/MH/24-25/0034,04-09-2024,2427.0,2.0,0.0,24.27,24.27,48.54,10-10-2024,GSTR7A/092024/27349
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,122024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,VPI/KA/24-25/0166,07-12-2024,80931.5,2.0,0.0,809.32,809.32,1618.63,10-01-2025,GSTR7A/122024/44209
29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,012025,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,VPI/KA/24-25/0193,18-01-2025,1386461.19,2.0,0.0,13864.61,13864.61,27729.22,10-02-2025,GSTR7A/012025/17350
