gstin,ewb_no,ewb_date,doc_type,doc_no,doc_date,supply_type,sub_supply_type,from_gstin,from_state,from_place,to_gstin,to_state,hsn,taxable_value,igst,cgst,sgst,cess,total_invoice_value,transporter_id,transporter_name,vehicle_no,distance_km,valid_upto,status,cancelled,extended
29AABCV1234K1Z9,8363964343692,12-04-2024 19:01,INV,VPI/KA/24-25/0001,12-04-2024,Outward,Supply,29AABCV1234K1Z9,29,Bengaluru,27AAEFS1122H1ZJ,27,72085190,557039.05,100267.03,0.0,0.0,0.0,657306.08,29AAECM1177X1ZF,MAHALAKSHMI ROADLINES PRIVATE LIMITED,KA19EF2760,1069,18-04-2024 19:01,Active,N,N
29AABCV1234K1Z9,8037030983419,03-04-2024 20:39,INV,VPI/KA/24-25/0005,03-04-2024,Outward,Supply,29AABCV1234K1Z9,29,Bengaluru,29AAGFK9012M1ZX,29,72085190,938023.52,0.0,84422.12,84422.11,0.0,1106867.75,29AAECM1177X1ZF,MAHALAKSHMI ROADLINES PRIVATE LIMITED,KA01FE5046,491,06-04-2024 20:39,Active,N,N
29AABCV1234K1Z9,6618505441150,01-04-2024 10:12,INV,VPI/KA/24-25/0006,01-04-2024,Outward,Supply,29AABCV1234K1Z9,29,Bengaluru,27AAEFS1122H1ZJ,27,72085190,1615911.09,290864.0,0.0,0.0,0.0,1906775.09,29AAECM1177X1ZF,MAHALAKSHMI ROADLINES PRIVATE LIMITED,KA01JG2801,203,03-04-2024 10:12,Active,N,N
29AABCV1234K1Z9,3308029991152,30-04-2024 18:43,INV,VPI/KA/24-25/0007,30-04-2024,Outward,Supply,29AABCV1234K1Z9,29,Bengaluru,29AAGFK9012M1ZX,29,84819090,261193.11,0.0,23507.38,23507.38,0.0,308207.87,29AAECM1177X1ZF,MAHALAKSHMI ROADLINES PRIVATE LIMITED,KA43BH6483,546,03-05-2024 18:43,Active,N,N
29AABCV1234K1Z9,7106547539502,17-04-2024 13:28,INV,VPI/KA/24-25/0008,17-04-2024,Outward,Supply,29AABCV1234K1Z9,29,Bengaluru,07AAACN8899J1ZP,07,84139110,164042.66,29527.68,0.0,0.0,0.0,193570.34,29AAECM1177X1ZF,MAHALAKSHMI ROADLINES PRIVATE LIMITED,KA41JH2010,563,20-04-2024 13:28,Active,N,N
29AABCV1234K1Z9,1864677321051,11-04-2024 15:49,INV,VPI/KA/24-25/0009,11-04-2024,Outward,Supply,29AABCV1234K1Z9,29,Bengaluru,19AAACB6677K1Z6,19,73181500,69158.15,12448.47,0.0,0.0,0.0,81606.62,29AAECM1177X1ZF,MAHALAKSHMI ROADLINES PRIVATE LIMITED,KA16AF5813,1782,20-04-2024 15:49,Active,N,N
29AABCV1234K1Z9,3324531569586,14-04-2024 12:34,INV,VPI/KA/24-25/0010,14-04-2024,Outward,Supply,29AABCV1234K1Z9,29,Bengaluru,29AACCS7712F1ZB,29,72085190,1606175.35,0.0,144555.78,144555.78,0.0,1895286.91,29AAECM1177X1ZF,MAHALAKSHMI ROADLINES PRIVATE LIMITED,KA25JB6179,1264,21-04-2024 12:34,Active,N,N
29AABCV1234K1Z9,7025320736563,17-04-2024 13:33,INV,VPI/KA/24-25/0011,17-04-2024,Outward,Supply,29AABCV1234K1Z9,29,Bengaluru,07AAACN8899J1ZP,07,84139110,230338.69,41460.96,0.0,0.0,0.0,271799.65,29AAECM1177X1ZF,MAHALAKSHMI ROADLINES PRIVATE LIMITED,KA43LJ7941,1777,26-04-2024 13:33,Active,N,N
29AABCV1234K1Z9,4362378820726,14-04-2024 18:52,INV,VPI/KA/24-25/0013,14-04-2024,Outward,Supply,29AABCV1234K1Z9,29,Bengaluru,19AAACB6677K1Z6,19,72085190,876544.14,157777.95,0.0,0.0,0.0,1034322.09,29AAECM1177X1ZF,MAHALAKSHMI ROADLINES PRIVATE LIMITED,KA20EH3252,488,17-04-2024 18:52,Active,N,N
29AABCV1234K1Z9,6566985670483,11-04-2024 09:20,INV,VPI/KA/24-25/0015,11-04-2024,Outward,Supply,29AABCV1234K1Z9,29,Bengaluru,07AAACN8899J1ZP,07,84139110,353436.76,63618.62,0.0,0.0,0.0,417055.38,29AAECM1177X1ZF,MAHALAKSHMI ROADLINES PRIVATE LIMITED,KA36KE3434,820,16-04-2024 09:20,Active,N,N
