shipping_bill_no,shipping_bill_date,port_code,exporter_gstin,iec,branch_sl_no,invoice_no,invoice_date,buyer_name,destination_country,hsn,description,fob_value_inr,currency,fob_value_fc,exchange_rate,export_type,igst_paid,lut_arn,scheme_code,gstr1_table6a_value,mock_flag
7100013,23-04-2024,INBLR4,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0017,19-04-2024,PACIFIC RIM INDUSTRIAL PTE LTD,SG,84819090,Industrial valve components,1894725.64,USD,21760.95,87.07,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,1894725.64,
7100026,23-04-2024,INBLR4,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0018,15-04-2024,PACIFIC RIM INDUSTRIAL PTE LTD,SG,84139110,Pump parts and impellers,1588178.99,USD,18477.94,85.95,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,1588178.99,
7100039,10-05-2024,INMAA1,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0037,06-05-2024,ATLAS VALVE CORP,US,84819090,Industrial valve components,1046480.28,USD,12450.69,84.05,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,1046480.28,No FIRC/eBRC - export proceeds unrealised beyond 12 months
7100052,08-05-2024,INBLR4,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0038,03-05-2024,PACIFIC RIM INDUSTRIAL PTE LTD,SG,84819090,Industrial valve components,1764376.42,USD,20496.94,86.08,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,1764376.42,
7100065,02-07-2024,INBLR4,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0057,28-06-2024,PACIFIC RIM INDUSTRIAL PTE LTD,SG,72085190,Hot rolled steel plate (traded),2977670.19,USD,34116.29,87.28,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,2977670.19,EGM not filed - refund cannot be processed
7100078,04-06-2024,INMAA1,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0058,02-06-2024,ATLAS VALVE CORP,US,73181500,High tensile fasteners,2312188.59,USD,27549.01,83.93,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,2312188.59,
7100091,05-07-2024,INBLR4,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0077,03-07-2024,ATLAS VALVE CORP,US,84819090,Industrial valve components,1636202.09,USD,18935.33,86.41,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,1636202.09,
,,INBLR4,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0078,31-07-2024,HELIOS FLUID SYSTEMS GMBH,DE,72085190,Hot rolled steel plate (traded),2418808.73,EUR,26363.04,91.75,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,2418808.73,Shipping bill reference missing in GSTR-1 Table 6A
7100117,10-08-2024,INMAA1,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0097,04-08-2024,ATLAS VALVE CORP,US,84139110,Pump parts and impellers,840430.82,USD,9790.67,85.84,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,840430.82,
7100130,15-08-2024,INBLR4,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0098,08-08-2024,PACIFIC RIM INDUSTRIAL PTE LTD,SG,40169390,Moulded rubber seals and gaskets,1976702.9,USD,22158.36,84.0,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,1861302.17,Shipping bill FOB value exceeds GSTR-1 Table 6A invoice value by 6.2%
7100143,18-09-2024,INBLR4,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0117,11-09-2024,PACIFIC RIM INDUSTRIAL PTE LTD,SG,72085190,Hot rolled steel plate (traded),1696909.82,USD,20103.18,84.41,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,1696909.82,
7100156,08-09-2024,INMAA1,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0118,06-09-2024,PACIFIC RIM INDUSTRIAL PTE LTD,SG,40169390,Moulded rubber seals and gaskets,2564071.53,USD,29594.55,86.64,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,2564071.53,
7100169,12-10-2024,INBLR4,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0137,06-10-2024,ATLAS VALVE CORP,US,73181500,High tensile fasteners,1580676.21,USD,18212.65,86.79,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,1580676.21,
7100182,14-10-2024,INBLR4,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0138,09-10-2024,ATLAS VALVE CORP,US,84819090,Industrial valve components,1253209.64,USD,14494.68,86.46,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,1253209.64,
7100195,08-11-2024,INMAA1,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0157,04-11-2024,ATLAS VALVE CORP,US,73181500,High tensile fasteners,2696303.25,USD,32318.15,83.43,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,2696303.25,
7100208,22-11-2024,INBLR4,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0158,15-11-2024,HELIOS FLUID SYSTEMS GMBH,DE,84819090,Industrial valve components,1425036.83,EUR,15174.5,93.91,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,1425036.83,
7100221,15-12-2024,INBLR4,29AABCV1234K1Z9,0788012345,01,VPI/KA/24-25/0177,11-12-2024,PACIFIC RIM INDUSTRIAL PTE LTD,SG,84139110,Pump parts and impellers,1169703.57,USD,14006.75,83.51,LUT - without payment of IGST,0.0,AD2904240012345K,00 - Free shipping bill,1169703.57,
