ebrc_no,ebrc_date,shipping_bill_no,shipping_bill_date,invoice_no,invoice_date,iec,ad_code,bank_name,currency,invoice_value_fc,realised_value_fc,realised_value_inr,realisation_date,days_from_invoice,realisation_status,mock_flag
EBRC8308009278,05-07-2024,7100013,23-04-2024,VPI/KA/24-25/0017,19-04-2024,0788012345,0510005,HDFC BANK LTD - PEENYA BRANCH,USD,21760.95,21760.95,1894725.92,05-07-2024,77,Fully realised,
EBRC5724282162,06-08-2024,7100026,23-04-2024,VPI/KA/24-25/0018,15-04-2024,0788012345,0510005,HDFC BANK LTD - PEENYA BRANCH,USD,18477.94,18200.77,1588178.94,06-08-2024,113,Fully realised,
,,7100039,10-05-2024,VPI/KA/24-25/0037,06-05-2024,0788012345,0510005,,USD,12450.69,0.0,0.0,,329,Unrealised,No realisation - Rule 96A 12-month deadline breach
EBRC6637945020,03-09-2024,7100052,08-05-2024,VPI/KA/24-25/0038,03-05-2024,0788012345,0510005,HDFC BANK LTD - PEENYA BRANCH,USD,20496.94,20496.94,1764376.6,03-09-2024,123,Fully realised,
EBRC7809056551,05-08-2024,7100065,02-07-2024,VPI/KA/24-25/0057,28-06-2024,0788012345,0510005,HDFC BANK LTD - PEENYA BRANCH,USD,34116.29,34116.29,2977669.79,05-08-2024,38,Fully realised,
EBRC8222856505,31-07-2024,7100078,04-06-2024,VPI/KA/24-25/0058,02-06-2024,0788012345,0510005,HDFC BANK LTD - PEENYA BRANCH,USD,27549.01,27549.01,2312188.41,31-07-2024,59,Fully realised,
EBRC5948336662,21-09-2024,7100091,05-07-2024,VPI/KA/24-25/0077,03-07-2024,0788012345,0510005,HDFC BANK LTD - PEENYA BRANCH,USD,18935.33,18935.33,1636201.87,21-09-2024,80,Fully realised,
EBRC7825466306,14-12-2024,,,VPI/KA/24-25/0078,31-07-2024,0788012345,0510005,HDFC BANK LTD - PEENYA BRANCH,EUR,26363.04,26363.04,2418808.92,14-12-2024,136,Fully realised,
EBRC5102082000,30-09-2024,7100117,10-08-2024,VPI/KA/24-25/0097,04-08-2024,0788012345,0510005,HDFC BANK LTD - PEENYA BRANCH,USD,9790.67,9643.81,840431.11,30-09-2024,57,Fully realised,
EBRC3226933741,04-11-2024,7100130,15-08-2024,VPI/KA/24-25/0098,08-08-2024,0788012345,0510005,HDFC BANK LTD - PEENYA BRANCH,USD,22158.36,22158.36,1861302.24,04-11-2024,88,Fully realised,
EBRC7010809832,25-11-2024,7100143,18-09-2024,VPI/KA/24-25/0117,11-09-2024,0788012345,0510005,HDFC BANK LTD - PEENYA BRANCH,USD,20103.18,20103.18,1696909.42,25-11-2024,75,Fully realised,
EBRC1150809250,21-12-2024,7100156,08-09-2024,VPI/KA/24-25/0118,06-09-2024,0788012345,0510005,HDFC BANK LTD - PEENYA BRANCH,USD,29594.55,29150.63,2564071.81,21-12-2024,106,Fully realised,
EBRC9606359589,19-02-2025,7100169,12-10-2024,VPI/KA/24-25/0137,06-10-2024,0788012345,0510005,HDFC BANK LTD - PEENYA BRANCH,USD,18212.65,18212.65,1580675.89,19-02-2025,136,Fully realised,
EBRC8940767208,25-12-2024,7100182,14-10-2024,VPI/KA/24-25/0138,09-10-2024,0788012345,0510005,HDFC BANK LTD - PEENYA BRANCH,USD,14494.68,14277.26,1253210.03,25-12-2024,77,Fully realised,
EBRC5679864348,15-03-2025,7100195,08-11-2024,VPI/KA/24-25/0157,04-11-2024,0788012345,0510005,HDFC BANK LTD - PEENYA BRANCH,USD,32318.15,31833.38,2696303.25,15-03-2025,131,Fully realised,
